state	year	county	precinct	g2010_BALL_tv	sd	ld	g2010_USH_rv	g2010_USH_dv	g2010_USH_tv	g2010_GOV_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_SOS_rv	g2010_SOS_dv	g2010_SOS_tv	g2010_AUD_rv	g2010_AUD_tv	g2010_TRE_rv	g2010_TRE_tv	g2010_SPI_rv	g2010_SPI_dv	g2010_SPI_tv	g2010_STS_rv	g2010_STS_dv	g2010_STS_tv	g2010_STH_rv	g2010_STH_dv	g2010_STH_tv	sd2	ld2	g2010_STS_rv2	g2010_STS_tv2	g2010_STH_rv2	g2010_STH_dv2	g2010_STH_tv2	sd3	ld3	g2010_STH_rv3	g2010_STH_tv3
"WY"	2010	"Albany"	"Albany Public Library 31-3"	657	13	9	241	368	645	270	332	648	301	302	625	410	444	423	447	186	451	637		511	523		493	501											
"WY"	2010	"Albany"	"Albany Public Library 51-1"	67	45	9	16	45	65	24	37	67	25	30	60	42	44	47	49	14	52	66		53	53	23	43	66											
"WY"	2010	"Albany"	"Albany Public Library 51-2"	356	45	9	125	193	347	138	183	353	157	155	332	219	238	228	246	93	254	349		283	294	144	192	338											
"WY"	2010	"Albany"	"American Heritage Center 41-4"	194	14	10	98	80	194	122	54	193	111	60	188	168	169	163	167	73	111	185				96	83	179											
"WY"	2010	"Albany"	"Beitel School 61-1"	0	46	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0		0											
"WY"	2010	"Albany"	"Beitel School 61-2"	912	46	10	484	374	895	496	354	903	553	277	871	702	713	718	728	323	571	894				686		698											
"WY"	2010	"Albany"	"Centennial School 13-1"	241	46	10	156	68	238	150	70	239	166	55	234	190	194	191	193	116	118	234				186		192											
"WY"	2010	"Albany"	"Fairgrounds: County 12-1"	1593	46	10	1051	467	1578	1034	442	1585	1139	342	1532	1313	1327	1330	1346	813	744	1558				1292		1312											
"WY"	2010	"Albany"	"Indian Paintbrush School 41-3"	929	14	10	491	388	908	537	324	914	584	271	887	700	708	703	710	329	569	904				531	347	880											
"WY"	2010	"Albany"	"Laramie Jr. High 41-1"	822	14	10	415	353	806	467	297	819	518	238	787	603	619	619	633	265	536	802				439	335	774											
"WY"	2010	"Albany"	"Laramie Jr. High 41-2"	261	14	10	160	93	256	180	74	258	184	61	249	206	207	212	213	97	161	258				169	79	248											
"WY"	2010	"Albany"	"Linford School 51-4"	51	45	9	25	21	49	31	17	49	32	15	49	40	40	43	43	18	33	51		35	36	33	17	50											
"WY"	2010	"Albany"	"Linford School 51-5"	1174	45	9	699	387	1145	723	354	1156	747	316	1117	923	944	952	969	512	617	1131		779	827	754	360	1118											
"WY"	2010	"Albany"	"Linford School 51-6"	272	45	9	90	162	263	96	156	267	115	131	255	178	191	186	199	72	189	261		209	218	112	146	260											
"WY"	2010	"Albany"	"Northern Albany County 11-1"	473	14	10	317	131	465	318	117	468	356	95	464	386	391	396	402	252	210	462				333	119	454											
"WY"	2010	"Albany"	"Rock River Town Hall 14-1"	108	47	11	88	12	108	87	13	107	86	14	105	96	98	98	100	71	32	105	78	19	105	100		101											
"WY"	2010	"Albany"	"Slade School 31-1"	27	13	9	16	11	27	14	11	27	16	9	25	18	19	17	18	11	16	27		18	22		19	22											
"WY"	2010	"Albany"	"Slade School 31-2"	1218	13	9	603	536	1188	658	474	1204	719	396	1165	955	973	968	986	422	768	1193		887	919		875	908											
"WY"	2010	"Albany"	"Spring Creek School 31-4"	452	13	9	164	264	444	181	249	448	205	216	432	275	292	281	296	115	331	446		338	349		339	351											
"WY"	2010	"Albany"	"Spring Creek School 51-3"	643	45	9	247	326	624	275	303	631	293	259	593	402	421	411	428	176	437	614		459	484	317	286	604											
"WY"	2010	"Albany"	"Whiting High School 61-3"	809	46	10	354	402	798	374	387	801	431	303	768	567	586	574	597	237	550	788				563		594											
"WY"	2010	"Albany"	"Whiting High School 61-4"	319	46	10	186	112	313	199	104	318	205	88	306	249	250	254	258	132	177	309				244		245											
