year	office	name	party	incumbent
2002.0	"Ag Comm"	"Combs"	"R"	"Y"
2002.0	"Ag Comm"	"Ramsay"	"D"	"N"
2002.0	"Attorney Gen"	"Abbott"	"R"	"N"
2002.0	"Attorney Gen"	"Watson"	"D"	"N"
2002.0	"CCA 1"	"Cochran"	"R"	"N"
2002.0	"CCA 1"	"Molina"	"D"	"N"
2002.0	"CCA 2"	"Montgomery"	"D"	"N"
2002.0	"CCA 2"	"Womack"	"R"	"Y"
2002.0	"CCA 3"	"Bull"	"D"	"N"
2002.0	"CCA 3"	"Price"	"R"	"Y"
2002.0	"Comptroller"	"Akins"	"D"	"N"
2002.0	"Comptroller"	"Rylander"	"R"	"Y"
2002.0	"Governor"	"Perry"	"R"	"Y"
2002.0	"Governor"	"Sanchez"	"D"	"N"
2002.0	"Land Comm"	"Bernsen"	"D"	"N"
2002.0	"Land Comm"	"Patterson"	"R"	"N"
2002.0	"Lt. Governor"	"Dewhurst"	"R"	"N"
2002.0	"Lt. Governor"	"Sharp"	"D"	"N"
2002.0	"RR Comm 3"	"Boyles"	"D"	"N"
2002.0	"RR Comm 3"	"Williams"	"R"	"N"
2002.0	"SBOE 1"	"Munoz"	"R"	"N"
2002.0	"SBOE 1"	"Nunez"	"D"	"Y"
2002.0	"SBOE 15"	"Craig"	"R"	"N"
2002.0	"SBOE 15"	"Schaeffer"	"D"	"N"
2002.0	"SBOE 5"	"Howard"	"D"	"N"
2002.0	"SBOE 5"	"Montgomery"	"R"	"Y"
2002.0	"SBOE 7"	"Bradley"	"R"	"Y"
2002.0	"SBOE 7"	"Hargrove"	"D"	"N"
2002.0	"SBOE 9"	"McLeroy"	"R"	"Y"
2002.0	"SBOE 9"	"Woodard"	"D"	"N"
2002.0	"State Rep 1"	"Teafatiller"	"R"	"N"
2002.0	"State Rep 1"	"Telford"	"D"	"Y"
2002.0	"State Rep 103"	"Olivo"	"R"	"N"
2002.0	"State Rep 103"	"Wolens"	"D"	"Y"
2002.0	"State Rep 104"	"Alonzo"	"D"	"N"
2002.0	"State Rep 104"	"Hernandez"	"R"	"N"
2002.0	"State Rep 107"	"Daniel"	"D"	"N"
2002.0	"State Rep 107"	"Keffer"	"R"	"N"
2002.0	"State Rep 108"	"Branch"	"R"	"N"
2002.0	"State Rep 108"	"Dade"	"D"	"N"
2002.0	"State Rep 109"	"Giddings"	"D"	"Y"
2002.0	"State Rep 109"	"Sam"	"R"	"N"
2002.0	"State Rep 112"	"Booker"	"D"	"N"
2002.0	"State Rep 112"	"Hill"	"R"	"Y"
2002.0	"State Rep 115"	"Marchant"	"R"	"Y"
2002.0	"State Rep 115"	"Sutter"	"D"	"N"
2002.0	"State Rep 117"	"Mercer"	"R"	"N"
2002.0	"State Rep 117"	"Prado"	"D"	"N"
2002.0	"State Rep 12"	"Ingle"	"R"	"N"
2002.0	"State Rep 12"	"McReynolds"	"D"	"Y"
2002.0	"State Rep 123"	"Barger"	"R"	"N"
2002.0	"State Rep 123"	"Villarreal"	"D"	"Y"
2002.0	"State Rep 125"	"Balido"	"R"	"N"
2002.0	"State Rep 125"	"Castro"	"D"	"N"
2002.0	"State Rep 133"	"Amadi"	"D"	"N"
2002.0	"State Rep 133"	"Nixon"	"R"	"Y"
2002.0	"State Rep 134"	"Danburg"	"D"	"Y"
2002.0	"State Rep 134"	"Wong"	"R"	"N"
2002.0	"State Rep 135"	"Elkins"	"R"	"Y"
2002.0	"State Rep 135"	"Krebs"	"D"	"N"
2002.0	"State Rep 137"	"Hochberg"	"D"	"N"
2002.0	"State Rep 137"	"Roberts"	"R"	"N"
2002.0	"State Rep 138"	"Bohac"	"R"	"N"
2002.0	"State Rep 138"	"Yarbrough"	"D"	"Y"
2002.0	"State Rep 140"	"Bailey"	"D"	"Y"
2002.0	"State Rep 140"	"Palasota"	"R"	"N"
2002.0	"State Rep 149"	"Heflin"	"R"	"Y"
2002.0	"State Rep 149"	"Tran"	"D"	"N"
2002.0	"State Rep 17"	"Cook"	"D"	"Y"
2002.0	"State Rep 17"	"Killgore"	"R"	"N"
2002.0	"State Rep 18"	"Ellis"	"D"	"Y"
2002.0	"State Rep 18"	"Shauberger"	"R"	"N"
2002.0	"State Rep 19"	"Clayton"	"D"	"N"
2002.0	"State Rep 19"	"Hamilton"	"R"	"N"
2002.0	"State Rep 2"	"Duncan"	"D"	"N"
2002.0	"State Rep 2"	"Flynn"	"R"	"N"
2002.0	"State Rep 21"	"Kimler"	"R"	"N"
2002.0	"State Rep 21"	"Ritter"	"D"	"Y"
2002.0	"State Rep 24"	"Buzbee"	"D"	"N"
2002.0	"State Rep 24"	"Taylor"	"R"	"N"
2002.0	"State Rep 25"	"Bonnen"	"R"	"Y"
2002.0	"State Rep 25"	"Ertell"	"D"	"N"
2002.0	"State Rep 27"	"Olivo"	"D"	"Y"
2002.0	"State Rep 27"	"Rubal"	"R"	"N"
2002.0	"State Rep 29"	"Dawson"	"R"	"N"
2002.0	"State Rep 29"	"Uher"	"D"	"Y"
2002.0	"State Rep 32"	"Miller"	"D"	"N"
2002.0	"State Rep 32"	"Seaman"	"R"	"Y"
2002.0	"State Rep 33"	"Cuellar"	"R"	"N"
2002.0	"State Rep 33"	"Luna"	"D"	"Y"
2002.0	"State Rep 34"	"Capello"	"D"	"Y"
2002.0	"State Rep 34"	"Pate"	"R"	"N"
2002.0	"State Rep 35"	"Canales"	"D"	"N"
2002.0	"State Rep 35"	"Welder"	"R"	"N"
2002.0	"State Rep 38"	"Solis"	"D"	"Y"
2002.0	"State Rep 38"	"Zamora"	"R"	"N"
2002.0	"State Rep 4"	"Brown"	"R"	"Y"
2002.0	"State Rep 4"	"Head"	"D"	"N"
2002.0	"State Rep 43"	"Cyganiewicz"	"R"	"N"
2002.0	"State Rep 43"	"Rangel"	"D"	"Y"
2002.0	"State Rep 45"	"Green"	"R"	"Y"
2002.0	"State Rep 45"	"Rose"	"D"	"N"
2002.0	"State Rep 47"	"Keel"	"R"	"Y"
2002.0	"State Rep 47"	"Martin"	"D"	"N"
2002.0	"State Rep 48"	"Baxter"	"R"	"N"
2002.0	"State Rep 48"	"Kitchen"	"D"	"Y"
2002.0	"State Rep 49"	"Naishtat"	"D"	"Y"
2002.0	"State Rep 49"	"Pacetti"	"R"	"N"
2002.0	"State Rep 5"	"Glaze"	"D"	"Y"
2002.0	"State Rep 5"	"Hughes"	"R"	"N"
2002.0	"State Rep 50"	"Stick"	"R"	"N"
2002.0	"State Rep 50"	"Sylvester"	"D"	"N"
2002.0	"State Rep 52"	"Freeman"	"D"	"N"
2002.0	"State Rep 52"	"Krusee"	"R"	"Y"
2002.0	"State Rep 56"	"Getterman"	"R"	"N"
2002.0	"State Rep 56"	"Mabry"	"D"	"N"
2002.0	"State Rep 57"	"Dunnam"	"D"	"Y"
2002.0	"State Rep 57"	"Hibbs"	"R"	"N"
2002.0	"State Rep 58"	"Kauffman"	"D"	"N"
2002.0	"State Rep 58"	"Wohlgemuth"	"R"	"Y"
2002.0	"State Rep 59"	"Lengefeld"	"D"	"N"
2002.0	"State Rep 59"	"Miller"	"R"	"Y"
2002.0	"State Rep 61"	"Dobbs"	"D"	"N"
2002.0	"State Rep 61"	"King"	"R"	"Y"
2002.0	"State Rep 62"	"Clark"	"R"	"Y"
2002.0	"State Rep 62"	"Jarvis"	"D"	"N"
2002.0	"State Rep 66"	"McCall"	"R"	"Y"
2002.0	"State Rep 66"	"Spievack"	"D"	"N"
2002.0	"State Rep 67"	"Graham"	"D"	"N"
2002.0	"State Rep 67"	"Madden"	"R"	"Y"
2002.0	"State Rep 68"	"Counts"	"D"	"Y"
2002.0	"State Rep 68"	"Hardcastle"	"R"	"Y"
2002.0	"State Rep 70"	"Lusk"	"D"	"N"
2002.0	"State Rep 70"	"Paxton"	"R"	"N"
