county	fips	vtd	vtdkey	cntyvtd	p_nv_D_2002_2010	p_nv_D_2002	p_nv_D_2004	p_nv_D_2006	p_nv_D_2008	p_nv_D_2010	t_Pres_2008	t_Pres_2004	t_Registered_Voters_2002	p_Spanish_Surname_2002	t_Turnout_2002	t_Registered_Voters_2004	p_Spanish_Surname_2004	t_Turnout_2004	t_Registered_Voters_2006	p_Spanish_Surname_2006	t_Turnout_2006	t_Registered_Voters_2008	p_Spanish_Surname_2008	t_Turnout_2008	t_Registered_Voters_2010	p_Spanish_Surname_2010	t_Turnout_2010	census_2010_anglo	census_2010_anglovap	census_2010_hispanic	census_2010_hispvap	census_2010_total	census_2010_black	census_2010_blackvap	census_2010_other	census_2010_othervap	census_2010_bh	census_2010_vap	census_2010_bhvap
"Anderson"	1	"0001"	1	"10001"	0.29259393	0.3155326	0.29116175	0.3175441	0.30482614	0.22168691	1241.0	1352.0	1965	0.03	758	2426	0.038	1352	2140	0.040999999999999995	870	2052	0.043	1255	1978	0.043	797	2432	1984	519	282	3704	678	429	94	75	1178	2766	707
"Anderson"	1	"0002"	2	"10002"	0.32669085	0.38483173	0.29682767	0.3838756	0.2951029	0.20618595	1473.0	1435.0	2439	0.02	846	2604	0.023	1435	2427	0.021	974	2389	0.024	1483	2297	0.027000000000000003	939	3171	2365	245	135	3744	272	197	64	40	509	2732	327
"Anderson"	1	"0003"	3	"10003"	0.29120994	0.34681642	0.27395317	0.3229321	0.25665066	0.1990306	728.0	728.0	1085	0.032	462	1174	0.035	728	1144	0.032	522	1123	0.038	734	1112	0.043	535	1413	1107	151	96	1734	138	94	32	20	289	1317	190
"Anderson"	1	"0004"	4	"10004"	0.30987352	0.34756625	0.3016197	0.37558058	0.27813426	0.20360926	787.0	717.0	1100	0.013000000000000001	395	1219	0.015	717	1194	0.013000000000000001	461	1253	0.012	792	1261	0.013000000000000001	546	1962	1553	78	47	2147	72	57	40	29	145	1684	102
"Anderson"	1	"0005"	5	"10005"	0.21612558	0.2633007	0.21675707	0.29071122	0.17509638	0.087720245	190.0	178.0	277	0.006999999999999999	126	273	0.015	178	268	0.015	121	280	0.025	190	281	0.032	156	454	349	14	12	476	6	3	2	2	20	366	15
"Anderson"	1	"0006"	6	"10006"	0.69860727	0.7949535	0.63628334	0.7039866	0.6777609	0.5800973	691.0	515.0	1102	0.064	370	1243	0.062	559	1158	0.071	378	1254	0.075	694	1172	0.073	352	386	305	279	158	1569	901	596	20	17	1163	1072	750
"Anderson"	1	"0007"	7	"10007"	0.79820585	0.8302531	0.7691139	0.782747	0.8045142	0.77212745	674.0	611.0	1620	0.096	450	1627	0.111	611	1548	0.126	403	1467	0.139	677	1347	0.133	361	584	434	1238	726	3110	1268	889	42	25	2484	2063	1604
"Anderson"	1	"0008"	8	"10008"	0.7354756	0.7151657	0.66101396	0.7547145	0.7976549	0.7363636	139.0	109.0	395	0.086	100	359	0.109	116	349	0.11699999999999999	94	340	0.153	139	328	0.149	87	314	265	284	175	1042	438	341	17	12	711	788	511
"Anderson"	1	"0009"	9	"10009"	0.36398327	0.426408	0.35779434	0.38181704	0.33362576	0.26864123	781.0	675.0	1186	0.028999999999999998	449	1238	0.027000000000000003	675	1285	0.033	497	1266	0.037000000000000005	787	1275	0.034	544	1838	1416	171	104	2263	205	156	51	33	374	1707	258
"Anderson"	1	"0010"	10	"10010"	0.2763837	0.36782426	0.30109626	0.26162106	0.22882655	0.16900355	326.0	371.0	548	0.075	194	571	0.07400000000000001	371	540	0.057	196	551	0.057999999999999996	329	511	0.07200000000000001	182	2841	2673	1602	1572	7142	2663	2647	40	37	4261	6925	4215
