district-name,normal-votes:democrat,normal-votes:republican,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:other,pres-2008:democrat,pres-2008:republican,gov-2010:democrat,gov-2010:republican
"Congressional District 5",114410,77080,79010,70640,45880,200190,114360,123160,69130
"Congressional District 8",81440,155690,38930,139360,69490,82280,116760,100510,136930
"Congressional District 25",39410,85980,16460,84930,27410,88180,128510,45880,79440
"Congressional District 20",107360,31700,73410,26500,40210,205260,47530,111640,27500
"Congressional District 17",70710,137160,28310,113650,76370,139570,173660,88450,119230
"Congressional District 3",77700,127910,43410,118460,48980,144780,180230,91540,114040
"Congressional District 2",81810,146030,33900,142520,58840,118900,212450,97480,130220
"Congressional District 24",110890,23980,83440,21490,31080,207940,39120,112790,22020
"Congressional District 27",68230,90350,28610,84500,48620,130720,128940,80680,77740
"Congressional District 26",59820,73790,31070,68250,36770,121410,113660,67990,65800
"Congressional District 11",84560,163690,39100,144680,78050,154570,204210,103060,145380
"Congressional District 15",66030,111890,33750,93240,56950,136770,152770,80850,97260
"Congressional District 1",57930,158460,30370,151310,46680,116990,242680,69740,146770
"Congressional District 9",68000,85430,38950,78550,41440,137180,113360,76260,76940
"Congressional District 18",84890,130050,35620,113200,74110,172180,160450,105780,109380
"Congressional District 21",105830,93700,38890,75680,90470,197290,111660,124880,74520
"Congressional District 12",80150,135000,28800,105850,90340,163130,177650,99230,115700
"Congressional District 13",92980,117070,40920,83490,95170,187990,146930,115580,94640
"Congressional District 22",94980,96080,38040,81140,75360,184700,129940,106300,84340
"Congressional District 6",89710,129270,47080,120140,60720,173250,168450,102730,116080
"Congressional District 23",99490,66660,41160,59990,67400,183670,110420,103210,62930
"Congressional District 16",81760,140560,31870,112420,87270,159190,171350,101770,120530
"Congressional District 14",78450,91110,39620,73060,62260,170580,118930,96040,73450
"Congressional District 4",71030,169660,35070,161940,50020,126860,233610,85530,154580
"Congressional District 19",63320,152170,20940,132090,66280,135150,182360,79340,136530
"Congressional District 10",79450,74570,51500,73010,32820,163080,103320,87690,66600
"Congressional District 7",82380,115800,43970,112930,47920,168010,157660,98210,99570
