district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 2",148320,137000
"Congressional District 9",157380,86030
"Congressional District 8",112250,42660
"Congressional District 5",160790,180410
"Congressional District 11",152060,186840
"Congressional District 3",163520,168190
"Congressional District 1",188990,113390
"Congressional District 4",134660,164480
"Congressional District 10",192820,44180
"Congressional District 7",140590,187040
"Congressional District 12",168790,108920
"Congressional District 6",157290,112200
