district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 20",143980,96460
"Congressional District 23",99980,103720
"Congressional District 16",120410,47660
"Congressional District 14",70490,19720
"Congressional District 15",72880,3290
"Congressional District 13",104670,7390
"Congressional District 3",119780,94580
"Congressional District 22",106920,102820
"Congressional District 19",124990,107690
"Congressional District 27",102800,140530
"Congressional District 24",121930,90080
"Congressional District 21",109500,93950
"Congressional District 18",109480,93740
"Congressional District 26",127010,88600
"Congressional District 8",111390,16670
"Congressional District 7",85150,12670
"Congressional District 9",110400,19290
"Congressional District 10",111450,34730
"Congressional District 11",70320,64810
"Congressional District 6",73970,34820
"Congressional District 12",116290,36560
"Congressional District 25",130600,88580
"Congressional District 4",116630,87830
"Congressional District 2",91480,79320
"Congressional District 5",110700,17140
"Congressional District 17",122250,80560
"Congressional District 1",108540,92070
