district-name,pres-2008:democrat,pres-2008:republican
"Congressional District 5",200190,114360
"Congressional District 8",82280,116760
"Congressional District 25",88180,128510
"Congressional District 20",205260,47530
"Congressional District 22",184700,129940
"Congressional District 17",139570,173660
"Congressional District 3",144780,180230
"Congressional District 2",118900,212450
"Congressional District 24",207940,39120
"Congressional District 27",130720,128940
"Congressional District 26",121410,113660
"Congressional District 11",154570,204210
"Congressional District 15",136770,152770
"Congressional District 1",116990,242680
"Congressional District 9",137180,113360
"Congressional District 18",172180,160450
"Congressional District 21",197290,111660
"Congressional District 12",163130,177650
"Congressional District 13",187990,146930
"Congressional District 6",173250,168450
"Congressional District 23",183670,110420
"Congressional District 16",159190,171350
"Congressional District 14",170580,118930
"Congressional District 4",126860,233610
"Congressional District 19",135150,182360
"Congressional District 10",163080,103320
"Congressional District 7",168010,157660
