district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 6",152860,177790
"Congressional District 4",222540,139970
"Congressional District 5",151290,189670
"Congressional District 11",147590,191430
"Congressional District 10",142160,190140
"Congressional District 9",142740,172190
"Congressional District 8",141720,169710
"Congressional District 3",141890,169190
"Congressional District 1",233750,108740
"Congressional District 7",155340,169520
"Congressional District 12",189300,113770
"Congressional District 13",160790,181970
"Congressional District 2",152810,188780
